product_id,page_content,category,subcategory,brand,model,price,discount_percent,screen_size,in_stock,stock_count,rating,reviews_count,release_date,features,color,energy_rating
TV-4K-55-2023,"Ultra HD 4K Smart TV with HDR and voice control. Features Quantum Processor for enhanced picture quality and Object Tracking Sound for immersive audio experience.",electronics,televisions,Samsung,Neo QLED QN90C,1299.99,15,55,True,42,4.7,386,2023-03-15,"HDR,Smart TV,Voice Control,Gaming Mode",black,A+
CAM-DSLR-2022,"Professional digital camera with 45.7MP full-frame CMOS sensor. Captures stunning images with incredible detail and offers 8K video recording capabilities.",electronics,cameras,Nikon,Z9,5499.99,0,,True,7,4.9,203,2022-12-24,"45.7MP,8K Video,Built-in Flash,Weather Sealed",black,
FURN-CHAIR-2022,"Ergonomic office chair with breathable mesh back, adjustable lumbar support, and 360-degree swivel. Perfect for long working hours with comfortable padding and armrests.",furniture,office chairs,Herman Miller,Aeron,1495.00,10,,True,24,4.8,1205,2022-04-15,"Adjustable Height,Lumbar Support,Breathable Mesh",graphite,
AUDIO-HP-2023,"Noise-cancelling wireless headphones with 30-hour battery life. Features adaptive sound control and quick attention mode for seamless interactions.",electronics,headphones,Sony,WH-1000XM5,399.99,20,,True,56,4.7,892,2023-05-20,"Noise Cancelling,Bluetooth,30hr Battery",silver,
LAPTOP-ULT-2023,"Ultra-thin lightweight laptop with OLED display and all-day battery life. Powered by latest-gen processor and includes Thunderbolt 4 connectivity.",electronics,laptops,Dell,XPS 13,1299.99,5,13.4,True,31,4.6,752,2023-02-10,"Intel i7,16GB RAM,512GB SSD,OLED",silver,A++
PHONE-PRO-2023,"Professional smartphone with advanced camera system. Features a 6.7-inch Super Retina XDR display and A16 Bionic chip for unparalleled performance.",electronics,smartphones,Apple,iPhone 14 Pro Max,1099.99,0,6.7,True,15,4.8,1432,2023-09-22,"A16 Bionic,48MP Camera,Dynamic Island",space black,
TABLET-AIR-2022,"Thin and light tablet with 10.9-inch Liquid Retina display and M1 chip. Perfect for creativity, productivity, and entertainment on the go.",electronics,tablets,Apple,iPad Air,599.99,15,10.9,True,27,4.7,876,2022-03-08,"M1 Chip,Liquid Retina,USB-C",blue,
BOOK-FIC-2023,"The Last Horizon: A science fiction novel exploring space colonization and the ethical dilemmas of artificial intelligence in the 22nd century.",books,fiction,Penguin Random House,,24.99,10,,True,102,4.3,325,2023-01-30,"Hardcover,Science Fiction,440 pages",blue,
SHOES-RUN-2023,"Performance running shoes with responsive cushioning and breathable mesh upper. Designed for marathon training and long-distance running.",clothing,footwear,Nike,Air Zoom Pegasus 39,129.99,0,,True,48,4.5,692,2023-04-05,"ZoomX Foam,Mesh Upper,10mm Drop",black/white,
WATCH-SMART-2022,"Advanced smartwatch with always-on display, ECG capability, and fitness tracking. Water-resistant to 50 meters and offers up to 7 days of battery life.",electronics,wearables,Garmin,Fenix 7,699.99,15,,True,19,4.6,528,2022-05-18,"GPS,Heart Rate,ECG,Touchscreen",graphite,
GAME-CONSOLE-2022,"Next-generation gaming console with 4K gaming, 120fps support, and revolutionary haptic feedback controllers.",electronics,gaming,Sony,PlayStation 5,499.99,0,,False,0,4.9,2356,2022-11-12,"4K Gaming,SSD,3D Audio,Haptic Feedback",white,
COFFEE-MACHINE-2023,"Automatic espresso machine with integrated grinder, milk frother, and programmable settings for customized coffee brewing.",home,appliances,Breville,Barista Express,699.99,10,,True,13,4.7,1205,2023-07-14,"15 Bar Pump,Grinder,PID Control",stainless steel,A
SOUND-SYSTEM-2022,"Premium 7.1 channel soundbar with wireless subwoofer and Dolby Atmos support for immersive home theater experience.",electronics,audio,Sonos,Arc,899.99,5,,True,22,4.8,754,2022-09-03,"Dolby Atmos,HDMI eARC,Voice Control",black,A
DRONE-CAMERA-2023,"Professional aerial drone with 4K camera, 3-axis gimbal stabilization, and 34-minute flight time. Includes obstacle avoidance and automated flight modes.",electronics,drones,DJI,Mavic 3,1999.99,0,,True,9,4.9,352,2023-06-12,"4K Camera,34min Flight,10km Range",grey,
VACUUM-ROBOT-2022,"Smart robot vacuum with laser navigation, mopping function, and self-emptying base. Controlled via app and compatible with voice assistants.",home,appliances,iRobot,Roomba s9+,999.99,20,,True,17,4.5,892,2022-08-22,"Self-Emptying,Mapping,Voice Control",black,A++
BLENDER-PRO-2023,"Professional high-speed blender with variable speed control and preset programs for smoothies, soups, and frozen desserts.",home,kitchen,Vitamix,Professional Series 750,599.99,5,,True,28,4.7,1102,2023-01-05,"2.2 HP Motor,64oz Container,Self-Cleaning",brushed stainless,A+
MONITOR-ULTRA-2022,"Ultra-wide curved gaming monitor with 240Hz refresh rate, 1ms response time, and G-Sync technology for smooth gameplay experience.",electronics,monitors,LG,UltraGear 38GN950,1399.99,10,38,True,14,4.8,587,2022-07-10,"3840x1600,240Hz,HDR600,G-Sync",black,B
SPEAKER-PORT-2023,"Portable Bluetooth speaker with 360-degree sound, 24-hour battery life, and waterproof design for outdoor adventures.",electronics,audio,JBL,Charge 5,179.99,15,,True,64,4.6,753,2023-03-28,"Bluetooth 5.1,Waterproof,Powerbank",blue,A
KEYBOARD-MECH-2022,"Mechanical gaming keyboard with RGB backlighting, programmable keys, and aircraft-grade aluminum frame for durability.",electronics,peripherals,Corsair,K95 RGB Platinum XT,199.99,25,,True,37,4.7,892,2022-02-15,"Cherry MX Switches,RGB,Macro Keys",black,
